block,timestamp,date,price_scale,price_oracle,price_effective,price_lusd3crv,balances_blusd,balances_lusd_3crv,lp_supply,xcp_profit,virtual_price,fee,volume,sold_id,tokens_sold,bought_id,tokens_bought
15948381,1668189107,2022-11-11T17:51:47.000Z,0.8092630497108446,0.8115964384024235,0.8137054724253479,0.9872650135248006,2098953.952195906,2521963.8243614757,2296177.79457922,1.0040042237447937,1.0020848820918096,0.0034752106,12393.699118434744,0,10029.762745783108,1,12326.035753315242
15948957,1668196079,2022-11-11T19:47:59.000Z,0.8101514002413291,0.813704802363267,0.8219946445875986,0.9864238027412612,2124529.0790124475,2490850.32868977,2296177.79457922,1.004029276765984,1.0021013982651732,0.0040099494,31568.330078702667,0,25575.126816541433,1,31113.4956717056
15952754,1668241883,2022-11-12T08:31:23.000Z,0.8125200491105831,0.8219946445875986,0.8299479943010897,0.9846424686248123,2126001.8737875083,2489075.765963944,2296177.79457922,1.0040356371991719,1.002084333043386,0.0039879313,1812.6257643402205,0,1472.7947750608241,1,1774.5627258260736
15953693,1668253199,2022-11-12T11:39:59.000Z,0.816005634805546,0.8299479775853975,0.8309774590026465,0.9855617969207636,2127548.3684947263,2487214.711021402,2296177.79457922,1.0040381773006526,1.0020524472835992,0.0039435665,1895.201014863527,0,1546.4947072178275,1,1861.0549425419517
15957840,1668303155,2022-11-13T01:32:35.000Z,0.8189999996449656,0.8308339187834016,0.8357170757220053,0.9847610673470981,2097312.9472501706,2425907.4525289093,2251785.2713818294,1.0039696723376976,1.002001112284677,0.0040457163,12210.012215305218,0,10000,1,11965.772018431775
15957851,1668303287,2022-11-13T01:34:47.000Z,0.8189999996449656,0.8315245659112588,0.8434293664014226,0.9847610682846611,2107312.947250171,2414051.0951404227,2251790.9540372593,1.0039747297205042,1.0020086785260933,0.0041493444,12210.012215305218,0,10000,1,11856.357388486505
15957856,1668303347,2022-11-13T01:35:47.000Z,0.8189999996449656,0.8323217947112646,0.8520583256697394,0.9847610685761876,2117312.947250171,2402314.809373671,2251796.706779394,1.003979849504468,1.0020163381502247,0.0042225708,12210.012215305218,0,10000,1,11736.285766751644
15957861,1668303407,2022-11-13T01:36:47.000Z,0.8219286979204465,0.8336434910223703,0.8612497704364419,0.9847610685761876,2127548.3684947263,2390430.427402378,2251796.706779394,1.0039904141340272,1.0019983454326808,0.0042588711,12452.930856961018,0,10235.42124455532,1,11884.381971293273
15957936,1668304307,2022-11-13T01:51:47.000Z,0.8219286979204465,0.8514894766687453,0.8702649459935884,0.9846573500330418,2116306.2329882197,2355072.838312175,2229325.854415634,1.0039904740114642,1.0020036963641827,0.0043028532,12166.505470974427,0,10000,1,11490.753529757447
15957941,1668304367,2022-11-13T01:52:47.000Z,0.8219286979204465,0.8527468135633667,0.8802757096586531,0.9846573502579081,2127548.3684947263,2342301.6856117724,2229332.403579764,1.0039963613018632,1.002012503999287,0.0043395001,13677.750314534478,0,11242.135506506302,1,12771.15270040303
15958274,1668308375,2022-11-13T02:59:35.000Z,0.8219286979204465,0.8737478002054896,0.8693438331952741,0.9847018182582432,2126666.1615940062,2362694.134249365,2238382.348519395,1.0040020068595208,1.0020209500302197,0.0043092374,1014.7962946690617,1,1014.7962946690617,0,882.206900719963
15958891,1668315839,2022-11-13T05:03:59.000Z,0.8375730760729319,0.8454084736446076,0.8739809853841288,0.9812648628609824,2128053.8587765424,2363926.961609162,2238382.348519395,1.004418281647555,1.0024606493760795,0.0042142993,1656.8072950034382,0,1387.6971825361031,1,1587.788757127465
